Concurso,Data Sorteio,1º Prêmio,2º Prêmio,3º Prêmio,4º Prêmio,5º Prêmio
01289,31/12/1975,32330,49730,05804,32793,59333
01290,07/01/1976,00751,32437,32197,50753,59958
01291,10/01/1976,02313,34090,32192,40823,39923
01292,14/01/1976,24401,39406,14789,42958,49077
01293,17/01/1976,54250,29656,06862,29353,24077
01294,21/01/1976,20974,17778,23433,24794,18976
01295,28/01/1976,51785,59354,20843,50777,19932
01296,31/01/1976,42784,57756,03156,44462,54986
01297,04/02/1976,36216,29675,30438,24683,00388
01298,07/02/1976,20258,53493,09173,43184,56313
01299,11/02/1976,17362,50168,41971,24748,42527
01300,14/02/1976,35577,01118,38791,32916,43359
01301,18/02/1976,20065,19932,03986,06475,10880
01302,21/02/1976,45158,14550,45915,19318,27846
01303,25/02/1976,30783,59128,56753,29297,16790
01304,28/02/1976,41882,24714,36136,17895,19942
01305,06/03/1976,48028,18065,42152,17278,30350
01306,10/03/1976,13538,50727,27365,37565,07539
01307,13/03/1976,09087,00093,42533,16155,35808
01308,17/03/1976,49243,07138,46286,55401,08247
01309,20/03/1976,20163,26483,03597,25110,27673
01310,24/03/1976,15276,57815,56758,24165,49552
01311,27/03/1976,15105,46068,09302,35453,43576
01312,31/03/1976,47089,17813,48053,26841,20525
01313,03/04/1976,49625,23765,07512,37171,29938
01314,07/04/1976,01156,33276,38565,41990,53036
01315,10/04/1976,27561,23987,38836,52859,37428
01316,14/04/1976,43013,46011,53831,46648,17112
01317,24/04/1976,28406,60151,07514,69825,34274
01318,28/04/1976,00222,54657,52739,10756,50961
01319,05/05/1976,37878,00584,56031,26338,11099
01320,08/05/1976,50354,26295,44149,32217,06195
01321,12/05/1976,51735,11720,22537,36436,68016
01322,15/05/1976,38034,21807,41368,30269,66590
01323,19/05/1976,15057,29205,49780,50832,65505
01324,22/05/1976,59320,05098,39737,40237,56389
01325,26/05/1976,41068,04734,44915,22229,02582
01326,29/05/1976,12049,12987,27425,55741,01599
01327,02/06/1976,45673,51808,29648,06918,34353
01328,05/06/1976,23769,47467,08315,69675,58504
01329,09/06/1976,26051,39030,12467,43087,16761
01330,12/06/1976,60395,47314,01050,55720,01156
01331,16/06/1976,26173,57352,27163,69347,10154
01332,19/06/1976,21924,31364,51906,19798,49753
01333,23/06/1976,57094,59475,61775,12920,41637
01334,26/06/1976,56904,18721,60326,54970,04749
01335,30/06/1976,56452,60940,62766,59414,46545
01336,03/07/1976,66956,42265,62533,57743,06874
01337,07/07/1976,63623,45857,41784,60025,68487
01338,10/07/1976,64524,52863,14423,19578,56315
01339,14/07/1976,51258,17594,66351,40929,52796
01340,17/07/1976,56628,41324,05195,61078,69871
01341,21/07/1976,66758,51500,16674,16574,47494
01342,24/07/1976,40454,22738,54155,51759,10771
01343,28/07/1976,46260,56877,46250,26374,27947
01344,04/08/1976,39415,19807,36782,06048,00420
01345,07/08/1976,04565,40776,61992,63123,60174
01346,11/08/1976,40844,36505,08553,39269,13108
01347,14/08/1976,21626,32106,21710,69150,53512
01348,18/08/1976,02784,54460,25389,00930,06364
01349,21/08/1976,58814,40521,05455,50413,48724
01350,25/08/1976,54350,55543,25283,13212,15779
01351,28/08/1976,26497,65127,27825,16980,52345
01352,01/09/1976,04522,31440,25450,25079,49962
01353,04/09/1976,35853,10717,17299,00738,58398
01354,08/09/1976,60352,09978,35204,14980,20245
01355,11/09/1976,08158,21230,24723,52199,14570
01356,15/09/1976,37276,50901,26553,67781,62847
01357,18/09/1976,32472,09862,00855,58613,17230
01358,22/09/1976,61933,66359,05726,38575,10452
01359,25/09/1976,20059,25494,35652,05933,04263
01360,29/09/1976,66101,34927,62589,49270,15737
01361,02/10/1976,42632,04060,17154,48994,00191
01362,06/10/1976,53010,16864,55188,33468,63072
01363,13/10/1976,04176,69523,35048,06181,08553
01364,16/10/1976,45147,32597,04727,24249,33900
01365,20/10/1976,64099,26440,64103,35683,52563
01366,23/10/1976,52352,03778,33752,21142,67097
01367,27/10/1976,60059,65052,41455,55707,05740
01368,30/10/1976,69570,13693,61322,25190,60168
01369,03/11/1976,55828,36558,14916,18990,07366
01370,10/11/1976,54201,02665,64599,25004,40140
01371,13/11/1976,03249,32970,61154,32024,46272
01372,17/11/1976,01448,63146,07518,52250,35964
01373,20/11/1976,43111,07097,05357,34371,05525
01374,24/11/1976,59114,07899,40310,63672,42863
01375,27/11/1976,17010,39339,32182,18670,33723
01376,01/12/1976,16755,15157,14935,07679,04212
01377,04/12/1976,40927,05859,14944,42902,68862
01378,08/12/1976,14539,04152,32827,59225,54130
01379,11/12/1976,10848,54932,01422,60058,58052
01380,15/12/1976,07745,06766,20369,34452,66056
01381,18/12/1976,52591,44685,32456,67086,07460
01382,22/12/1976,22255,20428,31803,06919,01335
01383,29/12/1976,56255,65871,66028,42868,25660
01384,05/01/1977,04077,24920,48320,49875,31920
01385,08/01/1977,56586,29971,10965,03360,07292
01386,12/01/1977,16916,53935,56675,00126,23574
01387,15/01/1977,19545,19900,24866,37456,50536
01388,19/01/1977,26461,63143,42087,02317,25869
01389,26/01/1977,34821,14037,38278,08755,09130
01390,29/01/1977,48711,39577,32656,27636,40036
01391,02/02/1977,50765,64930,05952,68339,55722
01392,05/02/1977,43172,52230,12987,62114,29735
01393,09/02/1977,13851,01651,65554,63810,47382
01394,12/02/1977,48217,15250,06736,59163,68286
01395,16/02/1977,09625,28830,42455,16543,22615
01396,19/02/1977,01876,68365,68083,58216,49665
01397,26/02/1977,03676,66911,66634,27160,52041
01398,02/03/1977,07167,50782,19279,42205,19727
01399,05/03/1977,29031,22717,16769,49978,45659
01400,09/03/1977,42351,16778,10665,54328,46554
01401,12/03/1977,56769,27772,43924,17903,37238
01402,16/03/1977,26205,46221,49900,23824,45613
01403,19/03/1977,57112,46337,35516,19533,09250
01404,23/03/1977,46331,32716,47092,04878,05750
01405,26/03/1977,16348,19754,19571,16162,36245
01406,30/03/1977,10071,38065,08809,49860,41731
01407,02/04/1977,36721,47726,45011,43150,40939
01408,06/04/1977,50836,17511,16240,30146,19533
01409,13/04/1977,39156,43554,46024,18609,23966
01410,16/04/1977,26162,09131,36404,53629,13280
01411,20/04/1977,26060,23501,39348,55620,20556
01412,23/04/1977,43976,37822,29754,16601,46741
01413,27/04/1977,35308,11564,05876,18162,36233
01414,04/05/1977,19942,46065,59469,41993,15492
01415,07/05/1977,18396,16592,25848,33741,11231
01416,11/05/1977,16573,41932,58583,42487,00304
01417,14/05/1977,57848,38016,39788,27137,19139
01418,18/05/1977,49116,49810,19776,20516,38791
01419,21/05/1977,52161,26316,44642,28741,19327
01420,25/05/1977,32506,24794,02958,46060,29138
01421,28/05/1977,28675,12035,37476,46173,59173
01422,01/06/1977,11835,04973,27228,18500,22830
01423,04/06/1977,06055,23465,41073,07985,33151
01424,08/06/1977,20152,15481,06091,52758,08258
01425,11/06/1977,45415,50510,37217,36538,33874
01426,15/06/1977,28780,11574,06660,49334,54524
01427,18/06/1977,26541,47609,13260,22508,33657
01428,22/06/1977,19865,51936,00822,24801,08760
01429,25/06/1977,29857,49752,16260,26849,27474
01430,29/06/1977,36791,02388,41541,34021,55548
01431,02/07/1977,30747,27593,15794,42917,42096
01432,06/07/1977,12081,25586,37614,29290,25867
01433,09/07/1977,34519,13418,15384,43160,17467
01434,13/07/1977,56601,28284,36062,07494,42023
01435,16/07/1977,51391,36229,59882,36151,12563
01436,20/07/1977,23595,48116,44797,29817,09232
01437,23/07/1977,54994,08431,54566,53767,52366
01438,27/07/1977,59567,49538,00934,48791,46684
01439,30/07/1977,58040,39019,13202,23856,38079
01440,03/08/1977,46706,29521,33641,36814,07566
01441,10/08/1977,01806,07471,17995,46595,16981
01442,13/08/1977,18622,02682,21221,16775,43371
01443,17/08/1977,52683,32602,02320,16762,19743
01444,20/08/1977,38608,18995,20628,50248,59794
01445,24/08/1977,30794,46209,46684,38341,12681
01446,27/08/1977,10874,16384,18646,22532,45819
01447,31/08/1977,40517,08727,35898,57724,30992
01448,03/09/1977,12569,16521,57663,36964,15684
01449,10/09/1977,08571,06362,05120,03566,48914
01450,14/09/1977,55805,42907,17975,45677,53361
01451,17/09/1977,02894,23201,56656,17434,19571
01452,21/09/1977,38101,10304,26374,10193,45892
01453,24/09/1977,43103,48900,48476,40654,04944
01454,28/09/1977,31878,25046,07624,56275,25714
01455,01/10/1977,42526,02506,15674,53190,42071
01456,05/10/1977,05483,28532,57680,50066,26977
01457,12/10/1977,57989,56807,28756,27246,21949
01458,15/10/1977,41364,06867,57084,07868,47301
01459,19/10/1977,45604,48566,25032,41824,43713
01460,22/10/1977,22586,01191,20146,08024,16515
01461,26/10/1977,06516,36461,14884,07668,49386
01462,29/10/1977,06805,25474,21852,54126,24241
01463,09/11/1977,32038,34261,58161,03571,29687
01464,12/11/1977,43804,54980,56663,52490,33154
01465,16/11/1977,30361,27997,30346,13450,09009
01466,19/11/1977,26862,04345,16234,09692,58795
01467,23/11/1977,26630,07144,31375,24077,35760
01468,26/11/1977,58675,19940,26888,22096,08942
01469,30/11/1977,00242,00742,25905,27564,03630
01470,03/12/1977,54709,59037,19035,09630,34118
01471,07/12/1977,10338,04158,21899,41231,02017
01472,10/12/1977,01001,32619,23980,57639,34463
01473,14/12/1977,51488,40932,16734,17897,00725
01474,17/12/1977,47076,27987,23350,41689,05221
01475,21/12/1977,53336,51697,03992,00803,29211
01476,24/12/1977,58759,08592,12060,05630,10896
01477,31/12/1977,19858,11982,42317,52167,10200
01478,04/01/1978,21894,28723,50310,17250,56241
01479,07/01/1978,27095,23150,25839,19825,06229
01480,11/01/1978,33537,09552,13430,19700,06976
01481,14/01/1978,39175,16522,28142,02024,21990
01482,18/01/1978,43443,28997,26933,27927,17414
01483,21/01/1978,19860,05778,28240,36383,30883
01484,25/01/1978,19856,04826,25448,23234,07490
01485,01/02/1978,10815,23881,25860,53866,02830
01486,04/02/1978,06224,42096,50439,11941,17710
01487,11/02/1978,12857,47234,41932,23199,26427
01488,15/02/1978,50214,04063,26533,15697,13623
01489,18/02/1978,40892,48445,08935,18415,53644
01490,22/02/1978,45672,37811,34972,22190,57711
01491,25/02/1978,37377,02193,25643,47959,42896
01492,01/03/1978,58434,24191,03330,46236,50332
01493,04/03/1978,23630,40505,50866,30624,08734
01494,08/03/1978,16227,42857,01543,31918,39938
01495,11/03/1978,09188,04475,30268,37200,44796
01496,15/03/1978,12348,02317,50697,46464,54015
01497,18/03/1978,51256,52129,28810,04590,27192
01498,22/03/1978,25465,16706,17273,55984,05228
01499,29/03/1978,43395,43870,29211,20706,54651
01500,01/04/1978,48386,35757,04390,59469,13113
01501,05/04/1978,22983,56284,47388,20221,14530
01502,08/04/1978,44836,06517,54296,58337,18382
01503,12/04/1978,25775,49192,04754,30900,14459
01504,15/04/1978,03750,14857,51063,30653,31184
01505,19/04/1978,03615,34403,07718,36073,47411
01506,26/04/1978,32917,40296,51322,07315,09046
01507,29/04/1978,24498,16427,54715,07442,54230
01508,03/05/1978,16340,39568,57375,09589,55633
01509,10/05/1978,15363,55484,37207,15078,54296
01510,13/05/1978,13417,38076,00621,59730,34686
01511,17/05/1978,45976,49304,10664,57145,38295
01512,20/05/1978,40751,39535,52074,15749,05940
01513,24/05/1978,53494,35569,15388,55057,25569
01514,27/05/1978,28768,06992,13367,22283,52908
01515,31/05/1978,58635,33438,33571,40278,02840
01516,03/06/1978,51488,12183,10323,38587,11684
01517,07/06/1978,21814,34838,34465,59368,08163
01518,10/06/1978,18853,22578,43572,34188,12440
01519,14/06/1978,42661,27190,35114,17147,59764
01520,17/06/1978,44427,34657,45990,42869,29077
01521,21/06/1978,33459,55167,47761,33883,17093
01522,24/06/1978,16907,30005,38839,14832,27802
01523,28/06/1978,31194,59563,09172,06565,32171
01524,01/07/1978,08339,40546,41382,02354,54596
01525,05/07/1978,31998,16285,52387,01851,01311
01526,08/07/1978,24793,22608,24415,21485,52787
01527,12/07/1978,21507,54320,46586,13869,08652
01528,15/07/1978,36126,33297,19391,15016,52197
01529,19/07/1978,15072,38879,06382,05067,50202
01530,22/07/1978,28685,47426,20875,53921,48849
01531,26/07/1978,09740,27882,38633,44130,29011
01532,29/07/1978,44946,41475,59674,53608,24855
01533,02/08/1978,16866,34904,57676,05906,23309
01534,09/08/1978,54039,00199,36900,36643,05138
01535,12/08/1978,43768,33792,19697,16922,54285
01536,16/08/1978,19784,49588,22033,49251,07483
01537,19/08/1978,38968,58759,11926,24140,54955
01538,23/08/1978,39125,28718,29159,24650,35689
01539,26/08/1978,02631,03880,08741,35615,03572
01540,30/08/1978,49512,59380,13667,32777,17868
01541,02/09/1978,02569,06687,24767,17231,25501
01542,06/09/1978,03385,27906,23789,30337,26105
01543,09/09/1978,66537,53290,13225,35744,20847
01544,13/09/1978,59115,58633,18351,53232,53641
01545,16/09/1978,31510,67250,29616,61935,27651
01546,20/09/1978,55519,17683,11814,46905,00916
01547,23/09/1978,49261,00370,35085,48191,25817
01548,27/09/1978,31343,10024,00753,58385,32559
01549,30/09/1978,25824,34453,30899,05164,63512
01550,04/10/1978,46779,59445,38334,28057,16878
01551,11/10/1978,03411,22597,16790,17635,22253
01552,14/10/1978,54208,51867,53543,12934,63283
01553,18/10/1978,68465,06514,00184,50841,48287
01554,21/10/1978,50408,08896,07935,09323,09857
01555,25/10/1978,48093,47538,36763,18180,50195
01556,28/10/1978,31980,54183,30163,49478,14475
01557,01/11/1978,20751,24971,03663,33345,03768
01558,04/11/1978,11609,00553,39626,09393,24362
01559,08/11/1978,64100,34279,58877,55235,50479
01560,11/11/1978,57291,08193,31826,23176,30847
01561,22/11/1978,49066,41947,04055,20468,69812
01562,25/11/1978,30249,31487,09977,02609,30218
01563,29/11/1978,62753,39470,53241,59903,53872
01564,02/12/1978,58573,57105,56079,37874,20000
01565,06/12/1978,61323,03348,34038,30793,11860
01566,09/12/1978,63963,37295,38863,04031,06063
01567,13/12/1978,29008,69715,17561,10176,05180
01568,16/12/1978,48350,01280,47629,26376,48407
01569,20/12/1978,57747,63180,17663,53802,56293
01570,23/12/1978,17602,30910,15515,26387,02030
01571,30/12/1978,39506,12428,16314,09652,19243
01572,03/01/1979,00857,16590,17601,30959,16886
01573,06/01/1979,44844,42405,17222,47868,16839
01574,10/01/1979,65566,11495,31776,13909,45975
01575,13/01/1979,34198,54542,64801,16727,62957
01576,17/01/1979,45213,53255,10042,60221,65109
01577,20/01/1979,19194,37033,13116,60154,68835
01578,24/01/1979,57188,26142,31353,54867,02440
01579,27/01/1979,37610,52698,68707,46871,03381
01580,31/01/1979,55310,23188,58728,18443,30547
01581,07/02/1979,55968,35390,20233,35607,23440
01582,10/02/1979,44545,27651,33160,38230,36192
01583,14/02/1979,45430,46728,06180,19329,33828
01584,17/02/1979,16911,16183,20377,62818,26750
01585,21/02/1979,54018,68728,51250,43899,61029
01586,24/02/1979,16778,27169,26834,28759,05139
01587,03/03/1979,68603,07360,65680,53852,59437
01588,07/03/1979,31209,57891,01744,29987,07573
01589,10/03/1979,46187,14159,59360,67893,24400
01590,14/03/1979,64934,37090,64634,13906,35505
01591,17/03/1979,11075,67278,63733,67559,68177
01592,21/03/1979,36604,43066,47958,61743,34512
01593,24/03/1979,65222,31516,56196,12015,02028
01594,28/03/1979,27708,66189,63401,42049,69774
01595,31/03/1979,26236,21547,27309,25410,63063
01596,04/04/1979,53906,14608,46751,02078,44996
01597,07/04/1979,25165,19152,18285,63209,07058
01598,11/04/1979,28646,59875,50268,49666,33542
01599,18/04/1979,32084,66474,55494,55654,09253
01600,25/04/1979,14351,36272,68653,05033,39760
01601,28/04/1979,18393,32751,53871,33236,68644
01602,09/05/1979,49785,11876,06962,55123,39446
01603,12/05/1979,25478,65337,05977,30403,26586
01604,16/05/1979,21874,49500,36407,25510,09424
01605,19/05/1979,07222,18558,65747,29190,48649
01606,23/05/1979,04099,23614,34329,33990,30980
01607,26/05/1979,67059,60515,47424,54791,02286
01608,30/05/1979,43234,61735,18727,33896,01684
01609,02/06/1979,41927,37419,28685,04980,35104
01610,06/06/1979,11308,04089,53902,09447,27627
01611,09/06/1979,24838,34578,46157,38828,01716
01612,13/06/1979,00724,35912,03460,28378,19131
01613,16/06/1979,54850,51572,11273,03696,37426
01614,20/06/1979,15495,54587,50175,68082,30981
01615,23/06/1979,32079,17316,25223,56477,17059
01616,27/06/1979,16552,26466,65818,38972,49546
01617,30/06/1979,27167,65761,23069,69450,14200
01618,04/07/1979,52261,46872,53125,21013,15529
01619,07/07/1979,05197,40518,34151,67530,52324
01620,11/07/1979,33118,26413,60129,07991,69154
01621,14/07/1979,44498,52922,57665,53704,49625
01622,18/07/1979,39751,09399,49098,12847,16140
01623,21/07/1979,01446,00554,59886,62206,07472
01624,25/07/1979,62931,09321,49943,04065,46878
01625,28/07/1979,24239,65782,21393,16030,06866
01626,01/08/1979,32577,30594,67116,65052,28998
01627,08/08/1979,36127,12886,43011,53262,27919
01628,11/08/1979,19346,05347,01442,32263,10178
01629,15/08/1979,16677,40081,36695,41352,51835
01630,18/08/1979,16935,61450,16766,28697,67919
01631,22/08/1979,11601,45717,34982,56934,35354
01632,25/08/1979,03063,65271,09497,57396,44308
01633,29/08/1979,48880,11856,18446,16698,69573
01634,01/09/1979,63722,55458,26607,37382,04048
01635,05/09/1979,01066,40671,06340,15271,33831
01636,12/09/1979,06733,51947,31177,31025,44277
01637,15/09/1979,01243,06698,10140,39755,17670
01638,19/09/1979,43538,26928,53481,01717,17456
01639,22/09/1979,40867,19703,03124,13169,24744
01640,26/09/1979,33973,28527,15437,31661,37417
01641,29/09/1979,19948,51652,16101,20996,21330
01642,03/10/1979,43476,31312,27760,35638,68270
01643,10/10/1979,57086,28278,15740,33090,44298
01644,13/10/1979,47040,07299,68360,60642,18752
01645,17/10/1979,46596,54688,07164,60572,63143
01646,20/10/1979,28071,46521,66834,20289,59882
01647,24/10/1979,02347,20592,14019,59929,21700
01648,27/10/1979,14834,68603,08833,03085,04779
01649,31/10/1979,03997,08773,15790,02451,37052
01650,07/11/1979,09207,27061,29669,46225,61564
01651,14/11/1979,36897,29475,45402,40674,27456
01652,17/11/1979,09118,01434,25271,57094,23050
01653,21/11/1979,41270,11594,08626,33485,03556
01654,24/11/1979,42258,03169,59911,20182,41129
01655,28/11/1979,42363,18673,65910,21856,35410
01656,01/12/1979,64663,49884,62366,28551,03620
01657,05/12/1979,49889,52192,18585,04918,01930
01658,08/12/1979,08964,62681,29726,02142,04800
01659,12/12/1979,36271,23855,22821,14712,45231
01660,15/12/1979,59679,60379,59567,50315,48443
01661,19/12/1979,67704,12775,67280,49869,25162
01662,22/12/1979,26949,03568,68508,32450,45410
01663,29/12/1979,48521,61189,45229,09211,31932
01664,05/01/1980,60080,63994,34616,45206,21762
01665,09/01/1980,21749,49661,24011,05723,09290
01666,16/01/1980,30840,40326,33902,23670,38271
01667,19/01/1980,29991,16461,57031,30251,36238
01668,27/01/1980,28062,65309,49517,49440,61557
01669,30/01/1980,39859,63091,49816,52493,31981
01670,02/02/1980,21572,18617,25831,69509,68945
01671,06/02/1980,69881,04154,24662,63762,37626
01672,09/02/1980,62666,64461,26993,21095,33369
01673,13/02/1980,47092,09656,10105,20054,12349
01674,16/02/1980,00308,59262,40698,59731,52357
01675,23/02/1980,44503,00886,68130,07445,24916
01676,27/02/1980,60120,50346,47178,29530,04059
01677,01/03/1980,34729,33225,19863,42539,06661
01678,05/03/1980,65517,35914,45909,52784,21031
01679,08/03/1980,44360,61703,32548,06329,54048
01680,12/03/1980,40898,51813,32726,40231,20362
01681,15/03/1980,47418,25918,22481,53189,54079
01682,19/03/1980,34032,46514,68676,50198,06012
01683,22/03/1980,54287,61381,17068,13331,64156
01684,26/03/1980,32748,07243,62047,22707,00088
01685,29/03/1980,26418,00770,62849,24421,23644
01686,02/04/1980,60449,40984,27802,33032,68621
01687,09/04/1980,61058,16265,33053,17064,34079
01688,12/04/1980,29160,26177,16209,20594,32515
01689,16/04/1980,40525,62791,60759,02010,09134
01690,19/04/1980,58596,51554,44054,27567,57618
01691,23/04/1980,48654,18525,31992,27048,11173
01692,26/04/1980,09161,23725,02632,17474,57036
01693,30/04/1980,23460,51001,00467,41544,66587
01694,07/05/1980,05478,75420,44859,78003,51008
01695,10/05/1980,18663,02200,43687,74427,25390
01696,14/05/1980,79052,23987,43341,74394,63860
01697,21/05/1980,25378,19586,76054,02525,67163
01698,24/05/1980,40274,32537,39157,03603,55471
01699,28/05/1980,18102,60539,51658,43883,31000
01700,31/05/1980,46538,07230,49714,40804,79824
01701,04/06/1980,28709,21451,59302,09068,32137
01702,07/06/1980,30837,11245,33118,63320,24399
01703,11/06/1980,58293,34406,02854,22302,16681
01704,14/06/1980,29465,24517,73381,73285,45410
01705,18/06/1980,67935,74643,47513,77950,19468
01706,21/06/1980,29418,21649,50001,77182,14640
01707,25/06/1980,02938,06472,76535,77869,01860
01708,28/06/1980,00745,39462,40336,39595,64324
01709,02/07/1980,72210,75570,22272,02433,10092
01710,05/07/1980,45131,32965,34683,17476,28842
01711,09/07/1980,44965,59447,74793,26312,10575
01712,12/07/1980,18291,56987,59767,74818,50438
01713,16/07/1980,38418,02944,03788,10129,47084
01714,19/07/1980,76986,56546,74578,00254,37044
01715,23/07/1980,11187,48109,30561,32072,42818
01716,26/07/1980,58079,35606,19331,71454,65472
01717,30/07/1980,64686,06978,69190,47274,16123
01718,06/08/1980,58909,69050,07708,14689,76285
01719,09/08/1980,14233,36045,54796,48537,30119
01720,13/08/1980,70294,34941,49973,14417,30627
01721,16/08/1980,55110,56051,00184,37750,26710
01722,20/08/1980,18559,13767,29326,71791,01991
01723,23/08/1980,30448,41384,75991,33230,64524
01724,27/08/1980,30210,05439,12515,04523,63798
01725,30/08/1980,61680,12481,01761,01321,49539
01726,03/09/1980,57991,03990,77887,56825,17729
01727,06/09/1980,57067,56579,07283,59156,52844
01728,10/09/1980,29237,33896,20879,77017,71981
01729,13/09/1980,65551,30531,09626,18685,11151
01730,17/09/1980,18210,59511,68917,15010,64609
01731,20/09/1980,50447,57903,72914,30916,52802
01732,24/09/1980,01055,13294,35068,35207,67280
01733,27/09/1980,70605,36866,05600,15240,50976
01734,01/10/1980,53484,71044,65716,56039,51860
01735,04/10/1980,59463,39170,57277,02200,09653
01736,08/10/1980,75526,46303,55316,55867,52644
01737,15/10/1980,07875,76823,10439,78387,72628
01738,18/10/1980,02591,58803,19782,60066,01658
01739,22/10/1980,69048,41743,39125,36945,18624
01740,25/10/1980,29873,77772,70458,36063,69259
01741,29/10/1980,08861,67278,55868,35102,43025
01742,01/11/1980,19653,78010,07894,33792,56494
01743,05/11/1980,18686,38935,63843,30299,73459
01744,08/11/1980,47432,28256,59911,26098,71799
01745,12/11/1980,52931,14073,02917,28131,60195
01746,19/11/1980,43839,52538,23726,30294,79605
01747,22/11/1980,35695,10303,30866,42585,78433
01748,26/11/1980,40410,73859,07524,21373,15060
01749,29/11/1980,28799,35284,52414,52994,71338
01750,03/12/1980,48562,52724,02179,51830,03044
01751,06/12/1980,09865,09082,13912,55166,23670
01752,10/12/1980,44979,45473,42758,50702,68462
01753,13/12/1980,02852,54007,56080,64987,10134
01754,17/12/1980,19783,70284,70562,47103,43693
01755,20/12/1980,61459,09883,44652,20639,48452
01756,24/12/1980,46320,73993,26391,13315,54158
01757,31/12/1980,20148,62166,20296,32099,74069
01758,07/01/1981,69998,43772,33497,13513,31717
01759,10/01/1981,61096,63341,62459,24651,14985
01760,14/01/1981,59858,76894,51509,33098,56460
01761,17/01/1981,46488,23797,79358,38021,72120
01762,21/01/1981,24249,02421,57156,17241,35637
01763,24/01/1981,78556,66501,66899,75568,49926
01764,28/01/1981,49631,65035,43446,36784,36999
01765,31/01/1981,71874,45806,51937,58556,12707
01766,04/02/1981,28921,04042,04166,49843,29948
01767,07/02/1981,06611,07078,72659,77621,39473
01768,11/02/1981,68938,39625,30665,47463,46512
01769,14/02/1981,23819,52887,19730,42347,25074
01770,18/02/1981,69509,09457,04372,22602,09707
01771,21/02/1981,66710,21040,33605,02185,48051
01772,25/02/1981,56348,31099,20837,78164,06110
01773,28/02/1981,77043,31338,15830,74805,51474
01774,07/03/1981,17903,79770,37450,24378,24084
01775,11/03/1981,74353,79563,00712,59396,26074
01776,14/03/1981,33086,17711,17739,01585,08079
01777,18/03/1981,17610,57173,02252,17116,06209
01778,21/03/1981,67527,46818,23168,02039,72147
01779,25/03/1981,25425,56406,14219,54745,10510
01780,01/04/1981,67584,18707,38611,61714,14513
01781,04/04/1981,35344,65311,11762,10528,26830
01782,08/04/1981,25475,05165,26648,42373,52935
01783,11/04/1981,10413,02341,31631,40235,30983
01784,15/04/1981,62252,40481,23903,46193,74858
01785,25/04/1981,26685,29475,16040,09733,14317
01786,29/04/1981,73963,12360,61132,53721,29904
01787,06/05/1981,40366,55945,38713,65693,39863
01788,09/05/1981,00586,02446,47810,62753,77022
01789,13/05/1981,53970,05577,30365,27307,33981
01790,20/05/1981,49227,35401,33404,40446,32920
01791,23/05/1981,52565,13425,38803,19162,63908
01792,27/05/1981,20862,17313,06270,42150,71881
01793,30/05/1981,36263,72892,57599,50842,33398
01794,03/06/1981,73617,39805,51779,54032,15395
01795,06/06/1981,30422,32567,38355,64573,75048
01796,10/06/1981,79225,13676,22497,30344,40446
01797,13/06/1981,21012,43598,22248,11546,66662
01798,17/06/1981,45389,52834,10783,70412,31674
01799,20/06/1981,43640,75284,26422,37112,20606
01800,24/06/1981,57875,17490,23704,34107,01834
01801,27/06/1981,56141,60978,25924,07001,31256
01802,01/07/1981,15995,70543,44287,77215,52635
01803,04/07/1981,31332,27860,49319,66979,02677
01804,08/07/1981,78999,40568,16330,06268,57738
01805,11/07/1981,76762,43159,27818,47382,37689
01806,15/06/1981,55489,12004,20604,18345,65072
01807,18/06/1981,47822,62583,72116,70337,59060
01808,22/06/1981,53567,00258,19545,23831,31898
01809,25/06/1981,63613,09594,38393,50221,43109
01810,29/06/1981,19770,66000,10681,10300,25752
01811,05/08/1981,53344,64217,52766,45864,28500
01812,08/08/1981,42762,46726,41682,56108,21377
01813,12/08/1981,10679,54326,26230,04184,67133
01814,15/08/1981,35547,16374,63032,42620,72340
01815,19/08/1981,12590,76516,21481,75725,08852
01816,22/08/1981,35324,69210,43147,45213,14451
01817,26/08/1981,41517,32295,60291,50549,20562
01818,29/08/1981,12805,30153,76833,21007,58082
01819,02/09/1981,07957,43999,66462,10809,25687
01820,05/09/1981,22941,15630,12513,69692,15040
01821,09/09/1981,03273,35671,21627,41537,09066
01822,12/09/1981,44893,33152,14109,29399,45614
01823,16/09/1981,18839,49234,40543,76749,08514
01824,19/09/1981,44285,11717,07903,69248,29437
01825,23/09/1981,40226,60821,41894,14161,39271
01826,26/09/1981,26274,70979,52150,70403,01205
01827,30/09/1981,78222,35555,52315,14781,10926
01828,03/10/1981,30048,68521,00317,23799,41373
01829,07/10/1981,11374,53522,02448,65514,38460
01830,14/10/1981,43545,27418,20021,03507,69289
01831,17/10/1981,39490,74639,38256,66456,55829
01832,21/10/1981,79380,27235,56900,42363,42721
01833,24/10/1981,15935,43671,39208,10173,22805
01834,28/10/1981,64928,33255,31746,17431,24672
01835,31/10/1981,51779,53734,71415,70495,43923
01836,04/11/1981,23143,79753,29876,31932,09212
01837,07/11/1981,03951,73037,03097,79920,23566
01838,11/11/1981,78701,74378,02651,08265,68938
01839,18/11/1981,06588,46564,25112,43372,18917
01840,21/11/1981,29084,77550,63526,45516,07229
01841,25/11/1981,40306,54858,39361,36790,02652
01842,28/11/1981,75473,41074,74397,51365,39795
01843,02/12/1981,05575,59770,02867,55583,03149
01844,05/12/1981,76038,52336,50681,74801,46547
01845,09/12/1981,71521,03014,73019,69572,57784
