Concurso,Data Sorteio,1º Prêmio,2º Prêmio,3º Prêmio,4º Prêmio,5º Prêmio
00126,04/01/1964,38957,27111,38757,39392,18956
00127,08/01/1964,00221,37773,01631,11344,03722
00128,11/01/1964,08857,00906,09646,04143,36487
00129,15/01/1964,12768,32710,16881,15742,05524
00130,18/01/1964,02250,23374,02613,31794,20640
00131,22/01/1964,03706,13495,30519,17470,23020
00132,25/01/1964,37064,21694,24161,33814,24392
00133,29/01/1964,36210,04297,19259,05599,14578
00134,01/02/1964,37033,04838,18850,34777,39069
00135,05/02/1964,33613,13624,12540,15100,37782
00136,08/02/1964,03447,13837,21079,25290,04686
00137,15/02/1964,38048,34587,00523,14218,04166
00138,19/02/1964,34986,23734,15630,30470,04364
00139,22/02/1964,25342,30801,06693,16335,00278
00140,26/02/1964,17055,37234,12234,00614,09689
00141,29/02/1964,00295,15985,17614,32663,27126
00142,04/03/1964,19074,18537,19831,04045,08171
00143,07/03/1964,12787,37807,02976,13612,04618
00144,11/03/1964,32405,30853,28650,21194,32022
00145,14/03/1964,19018,19467,18509,14472,00411
00146,18/03/1964,16783,34478,23276,02699,21781
00147,21/03/1964,13271,12574,23312,27788,20120
00148,25/03/1964,33154,06990,03598,01719,36487
00149,06/04/1964,14618,21298,32816,07806,28238
00150,04/04/1964,13892,06408,36626,14518,32861
00151,08/04/1964,20701,00080,37093,23722,37108
00152,11/04/1964,38270,16704,39365,08943,04462
00153,15/04/1964,23855,24916,35324,17614,26346
00154,18/04/1964,34648,02884,09547,03696,13917
00155,22/04/1964,00576,26243,03895,14587,23615
00156,25/04/1964,27542,22910,39319,36894,08282
00157,29/04/1964,18550,24816,21428,25862,11338
00158,02/05/1964,29378,06741,11343,26316,27216
00159,06/05/1964,24344,14568,20291,37551,20475
00160,09/05/1964,19730,20115,02418,36272,00402
00161,13/05/1964,27055,23702,21578,00116,19588
00162,16/05/1964,08400,11336,16429,04032,07675
00163,20/05/1964,01540,37183,19226,22226,21708
00164,23/05/1964,19366,35170,20379,39419,24183
00165,27/05/1964,23117,38538,15627,04142,20592
